ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745480632.611998,CgFoCfUnvrgF8wAai,192.168.1.27,40244,182.161.73.136,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.440439,CY4zql2kOhO4qTOqW7,192.168.1.27,46120,172.240.45.81,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480627.567515,CQX8P24675QaJucrAe,192.168.1.27,43300,34.95.92.139,443,tcp,-,0.110798,25,4003,RSTO,T,F,0,^hCacdRfRRR,4,160,8,1085,-,BENIGN
1745480632.420291,CseFG71mXeR8hFED52,192.168.1.27,41226,57.129.85.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.419031,CvdgAk3cSAvkpMQgti,192.168.1.27,41214,57.129.85.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.880172,CW73tp4iwAyWJnu3E4,192.168.1.27,56400,116.213.23.89,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.881798,CfrdqU3UK6156F8VB5,192.168.1.27,32848,116.213.23.249,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.886333,CtjyVXIOfTBJNap24,192.168.1.27,56404,116.213.23.89,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.886523,C79LOU2MrtM76A2hCc,192.168.1.27,32856,116.213.23.249,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.890173,Chp6672so2WQfpO8Ub,192.168.1.27,54418,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.891337,CnDZZF2oA2kX0BYxSb,192.168.1.27,54428,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480632.773343,CG6lev1EfW2vTcuKWc,192.168.1.27,41232,57.129.85.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.242278,CYtjzV3V1TlQi1ENT4,192.168.1.27,47114,172.67.14.119,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480628.067875,CghLZCjnI7lcxmUdc,192.168.1.27,35918,74.125.24.101,443,tcp,-,0.222057,25,5150,RSTO,T,F,0,^hCacdRfRR,3,120,7,1031,-,BENIGN
1745480633.255933,CK5m6Z3lEnSq9SZJuf,192.168.1.27,47120,172.67.14.119,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.447695,CBZmHh4LWn4iXw8th,192.168.1.27,54448,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.447459,CJLWCy1rVBQz4NUBn3,192.168.1.27,54436,104.22.30.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.420311,C6NehZ1xubJj6MQ0r4,192.168.1.27,37646,54.168.193.225,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.397752,Cnm4HSZf6SHHvhAS3,192.168.1.27,37544,46.4.139.58,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.41,C0tQvUGf6hPkyLkBc,192.168.1.27,37560,46.4.139.58,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.397449,CrPKV73rWehkhZg7t9,192.168.1.27,49588,34.205.188.41,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480633.409709,CxzMxi2U2asyMJ5hXa,192.168.1.27,49596,34.205.188.41,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480628.246612,CCs2RSvtDiIOKYqcl,192.168.1.27,51054,146.75.45.229,443,tcp,-,0.506557,0,5151,RSTO,T,F,0,^hCacdftRR,3,120,9,565,-,BENIGN
