ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745488949.216518,Crz0ub25c16WLwXX08,192.168.1.27,42910,199.232.46.62,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488807.30988,CiITyi1W9RM8rpQPug,192.168.1.27,44482,118.97.158.187,443,tcp,-,137.438086,0,1779058,RSTRH,T,F,0,^hCadcCcCfr,0,0,127,1525182,-,BENIGN
1745488950.148391,CLYWVb2X1JmAVhYS87,192.168.1.27,37168,142.251.12.157,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488950.160396,Ca0rBu44Bv7vfCA7Sj,192.168.1.27,37184,142.251.12.157,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488777.454194,C9McNs1B2LdpFwuopf,192.168.1.27,52016,182.161.73.136,443,tcp,-,171.107734,0,4744,RSTR,T,F,0,^hCacdCftRr,2,80,15,2628,-,BENIGN
1745488954.49221,CwNsOs3qPyB2oqpLU4,192.168.1.27,53082,172.253.118.100,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488949.2366,C74S7p47BVQW4lXbt7,192.168.1.27,42910,199.232.46.62,443,tcp,-,0.481415,1,3891,RSTO,T,F,0,^hCacdCftRR,4,160,14,1759,-,BENIGN
1745488950.169455,ChLRTv1anryZx8NQHe,192.168.1.27,37168,142.251.12.157,443,tcp,-,0.000021,0,0,RSTO,T,F,0,^hR,1,40,1,60,-,BENIGN
1745488955.827206,Cl8xsM3LP1b8E1mjNh,192.168.1.27,44138,103.102.166.224,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745488946.053251,CaPuXb2ZTNqDjiSY8c,192.168.1.27,47569,118.98.115.70,53,udp,dns,0.006056,0,198,SHR,T,F,0,Cd,0,0,1,226,-,BENIGN
1745488946.053535,CU1PtLGcdWTqu3jj5,192.168.1.27,35515,118.98.115.70,53,udp,dns,0.005071,0,266,SHR,T,F,0,Cd,0,0,1,294,-,BENIGN
1745488946.053643,CZ0Uy41fQre8Q4tBR7,192.168.1.27,45448,118.98.115.70,53,udp,dns,0.004963,0,198,SHR,T,F,0,Cd,0,0,1,226,-,BENIGN
1745488946.059263,C3e2Mp0DOCPRogCzj,192.168.1.27,51658,118.98.115.70,53,udp,dns,0.006256,0,112,SHR,T,F,0,Cd,0,0,1,140,-,BENIGN
1745488946.05949,CdtXRs4v9vB3gJzQM,192.168.1.27,59729,118.98.115.70,53,udp,dns,0.006028,0,112,SHR,T,F,0,Cd,0,0,1,140,-,BENIGN
1745488946.109278,C6Q9oT2DDULl7xakQe,192.168.1.27,35811,118.98.115.70,53,udp,dns,0.004959,0,112,SHR,T,F,0,Cd,0,0,1,140,-,BENIGN
1745488946.843156,ClT5V71yE1DMa8GtSc,192.168.1.27,57935,118.98.115.70,53,udp,dns,0.017327,0,159,SHR,T,F,0,Cd,0,0,1,187,-,BENIGN
1745488946.843464,CMFdkb2bqupnY4DLk9,192.168.1.27,59128,118.98.115.70,53,udp,dns,0.005783,0,185,SHR,T,F,0,Cd,0,0,1,213,-,BENIGN
1745488946.843602,CBhAVW1UbtqT0lfZu1,192.168.1.27,40243,118.98.115.70,53,udp,dns,0.005645,0,185,SHR,T,F,0,Cd,0,0,1,213,-,BENIGN
1745488946.849838,Cs4orP2s0K5nXWe95a,192.168.1.27,55606,118.98.115.70,53,udp,dns,0.005381,0,107,SHR,T,F,0,Cd,0,0,1,135,-,BENIGN
